Taxon,Cluster
GCA_007624565_1_ASM762456v1_genomic,1
GCA_024630115_1_PDT001383791_1_genomic,1
SAMEA2696335_contigs,1
ERZ3044569,1
ERZ3044442,1
ERZ3250487,1
SAMEA104090836_contigs,1
SAMEA104090725_contigs,1
SAMEA104090714_contigs,1
ERZ3250729,1
GCA_024631855_1_PDT001383702_1_genomic,1
GCA_024630695_1_PDT001383771_1_genomic,1
GCA_013085165_1_ASM1308516v1_genomic,1
ERZ3163485,1
SAMEA104090910_contigs,1
ERZ3072798,1
1715_Vc_EC_051,1
GCA_015758205_1_PDT000787830_1_genomic,1
SAMN04286031_contigs,1
2010EL_1786,1
GCA_002194165_1_ASM219416v1_genomic,1
ERZ9451815,1
SAMEA104090621_contigs,1
ERZ3250580,1
ERZ3044510,1
SAMEA3303478_contigs,1
ERZ2887517,1
ERZ3071974,1
SAMN00991869_contigs,1
SAMEA3303536_contigs,1
ERZ3072800,1
GCA_015761455_1_PDT000787665_1_genomic,1
GCA_024631215_1_PDT001383733_1_genomic,1
2391_Vc_ICDC_VC2090,1
ERZ3250464,1
ERZ3110277,1
SAMEA3303458_contigs,1
SAMEA3303388_contigs,1
SAMEA1484149_contigs,1
ERZ3495923,1
ERZ3044506,1
GCA_015761985_1_PDT000787647_1_genomic,1
SAMEA1018735_contigs,1
GCA_015759705_1_PDT000787766_1_genomic,1
GCA_007624305_1_ASM762430v1_genomic,1
SAMEA103907198_contigs,1
GCA_026766985_1_PDT001517850_1_genomic,1
SAMEA3303459_contigs,1
GCA_015755865_1_PDT000788535_1_genomic,1
SAMEA104090861_contigs,1
SAMEA3303537_contigs,1
GCA_015754245_1_PDT000789128_1_genomic,1
SAMEA104090681_contigs,1
GCA_024630755_1_PDT001383767_1_genomic,1
SAMEA104090735_contigs,1
ERZ3044602,1
ERZ3163581,1
GCA_015754045_1_PDT000789137_1_genomic,1
ERZ3213657,1
SAMEA2203473_contigs,1
GCA_009748925_1_ASM974892v1_genomic,1
ERZ3044424,1
ERZ3250604,1
SAMEA103910267_contigs,1
ERZ3044670,1
ERZ3071613,1
SAMEA103908344_contigs,1
GCA_000176435_1_ASM17643v1_genomic,1
ERZ3213235,1
SAMEA4057593_contigs,1
GCA_015761925_1_PDT000787648_1_genomic,1
ERZ3044512,1
SAMEA3303638_contigs,1
SAMN04286053_contigs,1
GCA_028676635_1_PDT001618485_1_genomic,1
2359_Vc_ICDC_VC990,1
2326_Vc_H3C9,1
GCA_015759805_1_PDT000787731_1_genomic,1
ERZ3131506,1
SAMEA2445126_contigs,1
ERZ3044525,1
SAMEA3903177_contigs,1
1459_Vc_2012HC_12,1
ERZ3250455,1
SAMEA2202796_contigs,1
GCA_015759265_1_PDT000787784_1_genomic,1
ERZ3250738,1
GCA_009749045_1_ASM974904v1_genomic,1
2311_Vc_H1C8,1
GCA_015762125_1_PDT000787643_1_genomic,1
ERZ3072647,1
GCA_024631955_1_PDT001383694_1_genomic,1
M66_updated,1
ERZ3044678,1
ERZ3250490,1
ERZ3044484,1
ERZ3110280,1
SAMEA103920878_contigs,1
ERZ3193875,1
SAMN04286028_contigs,1
SAMEA103905092_contigs,1
SAMEA3303587_contigs,1
GCA_015793195_1_PDT000432944_1_genomic,1
ERZ3071961,1
GCA_024631735_1_PDT001383709_1_genomic,1
SAMN04286038_contigs,1
GCA_015792455_1_PDT000433013_1_genomic,1
SAMEA2696280_contigs,1
ERZ3193669,1
SAMEA103905532_contigs,1
SAMEA3303594_contigs,1
GCA_032344935_1_PDT001830088_1_genomic,1
GCA_000788895_1_ASM78889v1_genomic,1
SAMEA2202678_contigs,1
SAMEA3303471_contigs,1
ERZ3110173,1
ERZ3213673,1
GCA_015754165_1_PDT000789131_1_genomic,1
GCA_028676215_1_PDT001618483_1_genomic,1
SAMEA104125052_contigs,1
SAMEA3303516_contigs,1
SAMEA3145922_contigs,1
SAMN09982379_contigs,1
ERZ3250607,1
GCA_024631675_1_PDT001383715_1_genomic,1
1906_Vc_PRL5,1
SAMEA104090842_contigs,1
SAMEA104090678_contigs,1
ERZ3044584,1
ERZ3044462,1
GCA_015761285_1_PDT000787666_1_genomic,1
ERZ3196608,1
ERZ3046459,1
GCA_015756205_1_PDT000788546_1_genomic,1
SAMEA2203442_contigs,1
GCA_007624735_1_ASM762473v1_genomic,1
GCA_024631265_1_PDT001383730_1_genomic,1
ERZ3072006,1
SAMEA104090760_contigs,1
GCA_015758785_1_PDT000787802_1_genomic,1
SAMEA104090877_contigs,1
GCA_015796075_1_PDT000432799_1_genomic,1
ERZ3110273,1
SAMEA104090688_contigs,1
1455_Vc_2012HC_07,1
SAMEA104090740_contigs,1
GCA_015757585_1_PDT000787863_1_genomic,1
ERZ3044648,1
ERZ3250550,1
GCA_001254435_1_5174_7_2_genomic,1
2452_Vc_VCCP1047,1
ERZ3071861,1
2379_Vc_ICDC_VC1662,1
ERZ3250629,1
ERZ3072674,1
ERZ2887531,1
GCA_007623885_1_ASM762388v1_genomic,1
SAMEA104090632_contigs,1
2361_Vc_ICDC_VC1011,1
GCA_015760855_1_PDT000787704_1_genomic,1
GCA_015754105_1_PDT000789136_1_genomic,1
SAMEA1405546_contigs,1
GCA_000487955_1_E306v1_genomic,1
GCA_015795035_1_PDT000432831_1_genomic,1
GCA_015795065_1_PDT000432835_1_genomic,1
SAMEA104125048_contigs,1
ERZ3044416,1
ERZ3044454,1
ERZ3044495,1
ERZ9399306,1
GCA_015757795_1_PDT000787865_1_genomic,1
SAMEA104090787_contigs,1
SAMEA104090856_contigs,1
SAMEA3303534_contigs,1
SAMEA104090669_contigs,1
GCA_015762485_1_PDT000787630_1_genomic,1
ERZ3071932,1
ERZ4076222,1
GCA_015794195_1_PDT000432925_1_genomic,1
SAMEA3303521_contigs,1
GCA_015795275_1_PDT000432849_1_genomic,1
2057_Vc_VC14,1
ERZ3250647,1
SAMEA1484107_contigs,1
GCA_015755665_1_PDT000788564_1_genomic,1
