Taxon,Cluster
16404_7#45,1
24977_8#44,1
6259_1#1,1
19647_1#58,1
28042_2#55,1
19646_1#60,1
6753_2#17,1
22335_8#2,1
13415_8#65,1
6731_1#2,1
13414_2#22,1
6731_4#5,1
34746_4#222,1
6807_2#16,1
24820_2#122,1
27119_1#183,1
5366_6#3,1
7011_6#1,1
6925_5#1,1
19647_1#39,1
12291_1#51,1
14520_8#20,1
24977_8#53,1
18814_1#39,1
13154_3#88,1
6259_1#15,1
11679_1#28,1
31588_4#94,1
11826_3#29,1
22335_7#86,1
19646_1#74,1
6187_5#8,1
6925_3#9,1
17794_6#82,1
19647_1#10,1
6680_5#15,1
6823_3#11,1
31958_2#163,1
9803_8#4,1
17794_6#26,1
15191_5#26,1
19084_8#13,1
18814_2#35,1
11826_3#67,1
6641_6#19,1
6899_7#19,1
18787_3#9,1
24861_1#332,1
18814_2#15,1
23204_4#108,1
17794_5#64,1
17794_6#8,1
14913_5#30,1
27119_1#137,1
24977_8#28,1
14566_5#42,1
12299_2#5,1
7011_4#3,1
16404_7#39,1
11657_4#93,1
24977_8#79,1
23204_4#66,1
6823_5#6,1
19647_1#68,1
6983_8#80,1
19647_1#66,1
28516_1#295,1
22335_7#93,1
28177_3#293,1
11826_3#78,1
13091_3#34,1
11826_3#10,1
19647_1#5,1
19647_1#70,1
14672_3#12,1
23430_1#163,1
31919_2#152,1
12291_1#44,1
12299_1#70,1
19647_1#53,1
5429_8#6,1
16404_7#54,1
19647_1#49,1
12291_2#52,1
24775_1#85,1
6755_3#21,1
17794_4#13,1
27119_1#158,1
10868_6#6,1
17794_6#57,1
16043_2#60,1
16399_8#67,1
28177_3#267,1
13353_7#78,1
6775_2#13,1
15682_3#12,1
11657_8#4,1
18814_1#22,1
28177_3#354,1
31588_4#133,1
17150_6#86,1
15531_7#7,1
5901_6#5,1
32036_8#319,1
14410_7#45,1
18814_2#23,1
6289_8#14,1
15378_2#56,1
17794_6#86,1
7092_6#15,1
24861_1#57,1
32036_8#157,1
11657_8#63,1
5429_8#4,1
15608_2#50,1
6289_8#9,1
6805_5#7,1
11826_3#89,1
24775_1#95,1
13091_2#6,1
5366_3#4,1
17794_5#88,1
17794_5#7,1
5392_7#11,1
12162_1#60,1
6736_5#1,1
7011_3#24,1
5504_3#12,1
10754X109_140620_D00294_0106_AC4FB4ANXX_6,1
23430_3#48,1
11658_2#1,1
20402_4#127,1
16404_7#28,1
24977_8#243,1
17794_4#80,1
12299_2#65,1
28420_2#253,1
17794_4#63,1
20925_3#13,1
15682_2#1,1
11826_3#36,1
19084_8#158,1
5381_1#3,1
6823_2#1,1
28522_3#133,1
15191_6#60,1
6807_1#1,1
19647_1#40,1
31664_1#188,1
19646_1#43,1
17794_4#1,1
17794_6#38,1
17794_4#36,1
10868_5#15,1
5366_5#2,1
14673_1#86,1
23430_1#139,1
13414_2#67,1
16404_7#27,1
13414_4#42,1
17794_4#18,1
19647_1#28,1
34746_4#203,1
24977_8#150,1
19647_1#45,1
18814_2#57,1
19341_1#88,1
13414_8#86,1
16404_7#55,1
18814_2#39,1
13091_2#8,1
22841_1#119,1
6840_1#20,1
19084_8#109,1
21127_1#80,1
24861_1#291,1
6755_6#21,1
15682_4#4,1
19647_1#31,1
11860_1#5,1
13091_2#11,1
23430_1#143,1
12274_6#8,1
17150_5#32,1
17794_6#29,1
24775_1#194,1
19084_8#110,1
17150_6#55,1
24977_8#227,1
24775_1#59,1
19647_1#44,1
12299_2#42,1
17794_7#66,1
6730_4#24,1
15682_5#26,1
23430_1#186,1
17794_4#42,1
12299_2#18,1
6187_4#19,1
19647_1#36,1
11658_2#66,1
17150_4#14,1
23430_2#69,1
15191_6#79,1
6925_4#18,1
11826_3#68,1
12291_4#15,1
13470_1#47,1
15940_6#49,1
31537_1#373,1
5749_6#4,1
17138_4#8,1
15841_4#41,1
15874_1#15,1
19341_3#51,1
17794_4#31,1
6680_5#17,1
19646_1#79,1
11860_1#20,1
23430_1#111,1
11511_8#96,1
28042_2#102,1
16404_7#57,1
24977_8#228,1
6999_2#1,1
17794_5#28,1
17794_6#48,1
18814_2#73,1
24977_8#273,1
23430_1#105,1
18814_2#53,1
27119_1#3,1
6731_4#8,1
17794_6#10,1
11860_1#66,1
6899_6#21,1
31958_2#380,1
5381_3#1,1
18090_2#64,1
17794_5#5,1
6753_1#8,1
15191_6#59,1
13710_2#33,1
14410_6#10,1
17794_6#14,1
6949_1#17,1
10754X83_140620_D00294_0106_AC4FB4ANXX_5,1
6823_2#23,1
10868_6#4,1
21999_8#68,1
22276_1#184,1
27119_1#236,1
11860_1#44,1
17794_4#14,1
17794_6#76,1
11826_3#44,1
17794_5#60,1
14555_3#13,1
24977_8#232,1
17794_6#55,1
18814_2#29,1
19084_7#163,1
6999_1#17,1
17794_5#45,1
17794_5#90,1
17150_5#76,1
6805_4#5,1
18814_2#41,1
11826_3#6,1
21053_8#104,1
23430_1#43,1
27119_1#197,1
6775_2#12,1
17794_6#18,1
9803_7#18,1
11822_1#78,1
13415_6#51,1
32139_3#231,1
6925_3#23,1
11826_4#29,1
6187_7#23,1
10868_6#10,1
